# Scalar ASCII output created by CarpetIOScalar
# created on ekohaes8.ncsa.illinois.edu by rhaas on Feb 05 2018 at 14:10:40-0600
# parameter filename: "tov.par"
# Build ID: build-sim-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-03.09.30-62672
# Simulation ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
# Run ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
280576 548 0.00117677244256445
281088 549 0.00117693008398749
281600 550 0.00117706671153533
282112 551 0.00117718160855232
282624 552 0.00117727473601702
283136 553 0.00117734792398919
283648 554 0.00117740180844384
284160 555 0.00117743533512744
284672 556 0.00117744882164752
285184 557 0.00117744306877242
285696 558 0.0011774170780622
286208 559 0.00117736970689356
286720 560 0.00117730112322165
287232 561 0.00117721163976351
287744 562 0.00117710063102277
288256 563 0.00117696792928633
288768 564 0.00117681473263989
289280 565 0.00117664166420319
289792 566 0.00117644868970267
290304 567 0.0011762369042385
290816 568 0.00117600749007421
291328 569 0.00117576071841961
291840 570 0.00117549747932329
292352 571 0.00117521913933572
292864 572 0.00117492640032501
293376 573 0.00117462005378782
293888 574 0.00117430158154729
294400 575 0.00117397151105688
294912 576 0.00117362958571366
295424 577 0.00117327694439588
295936 578 0.00117291476237163
296448 579 0.00117254254349156
296960 580 0.00117216070066342
297472 581 0.00117177113531506
297984 582 0.00117137435670043
298496 583 0.00117097033423403
299008 584 0.00117056063330762
299520 585 0.00117014688756477
300032 586 0.00116972930705725
300544 587 0.00116930825589357
301056 588 0.00116888534930163
301568 589 0.00116846167567342
302080 590 0.00116803712155694
302592 591 0.00116761236936262
303104 592 0.00116718895001237
303616 593 0.00116676723636963
304128 594 0.00116634726568034
304640 595 0.00116593008484785
305152 596 0.00116551655106614
305664 597 0.00116510681611573
306176 598 0.00116470132554101
306688 599 0.00116430100512599
307200 600 0.00116390643182951
307712 601 0.00116351794152195
308224 602 0.00116313644166676
308736 603 0.00116276264825098
309248 604 0.00116239662241851
309760 605 0.00116203928774866
310272 606 0.00116169186845633
310784 607 0.00116135456235733
311296 608 0.00116102829789021
311808 609 0.00116071482334688
312320 610 0.00116041469166867
312832 611 0.00116012811393692
313344 612 0.00115985637832393
313856 613 0.00115960057847648
314368 614 0.00115936052339635
314880 615 0.00115913630237411
315392 616 0.00115892903134227
